ID,group,task,week,learnTime,time,item,acc,RT
AmPm5cd0,GC,PNN,1,AM,3,deglupta,1,3684.8
AmPm5cd0,GC,PNN,2,PM,3,dingo,0,NA
AmPm5cd0,GC,PNN,2,PM,3,dorado,0,NA
AmPm5cd0,GC,PNN,1,AM,3,drongo,0,NA
AmPm5cd0,GC,PNN,1,AM,3,galah,0,NA
AmPm5cd0,GC,PNN,1,AM,3,gelada,0,NA
AmPm5cd0,GC,PNN,1,AM,3,hoopoe,1,1192.6
AmPm5cd0,GC,PNN,2,PM,3,komondor,0,NA
AmPm5cd0,GC,PNN,1,AM,3,lesula,1,3894.1
AmPm5cd0,GC,PNN,2,PM,3,lycaon,1,766.2
AmPm5cd0,GC,PNN,1,AM,3,mandrill,1,3408.2
AmPm5cd0,GC,PNN,2,PM,3,marmot,0,NA
AmPm5cd0,GC,PNN,1,AM,3,oncilla,0,NA
AmPm5cd0,GC,PNN,2,PM,3,oranda,1,1496.6
AmPm5cd0,GC,PNN,2,PM,3,protea,0,NA
AmPm5cd0,GC,PNN,1,AM,3,serval,0,NA
AmPm5cd0,GC,PNN,2,PM,3,trillium,1,1257.5
AmPm5cd0,GC,PNN,2,PM,3,woylie,0,NA
AmPm5cd0,GC,PNN,2,PM,3,zinnia,0,NA
AmPm5cd0,GC,PNT,2,PM,3,agouti,0,NA
AmPm5cd0,GC,PNT,1,AM,3,banyan,0,NA
AmPm5cd0,GC,PNT,1,AM,3,baobab,0,NA
AmPm5cd0,GC,PNT,1,AM,2,serval,0,NA
AmPm5cd0,GC,PNT,2,PM,2,trillium,1,1240.8
AmPm5cd0,GC,PNN,1,AM,1,gelada,0,NA
AmPm5cd0,GC,PNN,1,AM,1,hoopoe,1,NA
AmPm5cd0,GC,PNN,2,PM,1,komondor,0,NA
AmPm5cd0,GC,PNT,2,PM,2,komondor,0,NA
AmPm5cd0,GC,PNT,1,AM,2,lesula,0,NA
AmPm5cd0,GC,PNT,2,PM,2,lycaon,0,NA
AmPm5cd0,GC,PNT,1,AM,2,mandrill,1,3352
AmPm5cd0,GC,PNT,2,PM,2,marmot,1,3852.5
AmPm5cd0,GC,PNT,1,AM,2,oncilla,1,1115.5
AmPm5cd0,GC,PNT,2,PM,2,oranda,1,1002.3
AmPm5cd0,GC,PNT,2,PM,2,protea,0,NA
AmPm5cd0,GC,PNN,1,AM,1,serval,0,NA
AmPm5cd0,GC,PNN,2,PM,3,agouti,0,NA
AmPm5cd0,GC,PNT,2,PM,2,woylie,0,NA
AmPm5cd0,GC,PNT,2,PM,2,zinnia,0,NA
AmPm5cd0,GC,PNN,1,AM,3,caracal,0,NA
AmPm5cd0,GC,PNN,2,PM,1,marmot,0,NA
AmPm5cd0,GC,PNN,1,AM,1,lesula,0,NA
AmPm5cd0,GC,PNN,2,PM,1,lycaon,0,NA
AmPm5cd0,GC,PNN,1,AM,1,mandrill,1,7674.3
AmPm5cd0,GC,PNN,2,PM,3,blenny,1,934.5
AmPm5cd0,GC,PNN,1,AM,1,oncilla,0,NA
AmPm5cd0,GC,PNN,2,PM,1,oranda,1,1871.9
